county,year,month,chlorophyll,rain_mm,lst_c,sst_c,marine_heatwave_days,Nitrate,Total_Phosphorus,spec_cond,streamflow,stream_width,water_temp,tds,tss,turbidity,ph,conductivity,do_mg_l,salinity,Developed_Total,Agriculture_Total,Forest_Total,Shrub_Grass_Total,Wetlands_Total,OpenWater,county_population,total_valid_area_km2,urban_area_km2,urban_pct,non_urban_area_km2,non_urban_pct,roads_area_km2,roads_pct,urban_population_density_km2,non_urban_population_density_km2,total_population_density_km2,date
Alameda,2018,1,67.347,106.14,14.467,12.79125,NA,0.16,0.3205,NA,8.149999999999999,38,12.05,32,10.5,NA,7.82,379,8.8,NA,33.890831853,1.35982337,10.538922491000001,47.20809414,2.063160996,3.968797114,1651760,2126.9097,377.1135,17.73058348,1470.5613,69.14074913,279.2349,13.12866738,4380.00761,1123.217373,776.600906,2018-01-01
Alameda,2018,2,63.547,10.541,17.348,11.74,NA,NA,NA,1340,1.46,8,11.4,NA,NA,NA,8.2,NA,NA,NA,33.890831853,1.35982337,10.538922491000001,47.20809414,2.063160996,3.968797114,1651760,2126.9097,377.1135,17.73058348,1470.5613,69.14074913,279.2349,13.12866738,4380.00761,1123.217373,776.600906,2018-02-01
Alameda,2018,3,67.638,108.213,21.531,11.8625,NA,0.203333333,0.365,NA,3,20,12.8,42,34.5,NA,7.73,103,8.35,NA,33.890831853,1.35982337,10.538922491000001,47.20809414,2.063160996,3.968797114,1651760,2126.9097,377.1135,17.73058348,1470.5613,69.14074913,279.2349,13.12866738,4380.00761,1123.217373,776.600906,2018-03-01
Alameda,2018,4,52.137,52.372,25.318,12.49375,NA,NA,NA,NA,2.23,19.55,17,NA,NA,NA,NA,NA,NA,NA,33.890831853,1.35982337,10.538922491000001,47.20809414,2.063160996,3.968797114,1651760,2126.9097,377.1135,17.73058348,1470.5613,69.14074913,279.2349,13.12866738,4380.00761,1123.217373,776.600906,2018-04-01
Alameda,2018,5,29.341,6.045,29.272,11.96,NA,0.189272727,0.036727273,NA,2.645,13,15.6,NA,NA,NA,NA,NA,NA,NA,33.890831853,1.35982337,10.538922491000001,47.20809414,2.063160996,3.968797114,1651760,2126.9097,377.1135,17.73058348,1470.5613,69.14074913,279.2349,13.12866738,4380.00761,1123.217373,776.600906,2018-05-01
Alameda,2018,6,82.579,0,36.568,12.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.890831853,1.35982337,10.538922491000001,47.20809414,2.063160996,3.968797114,1651760,2126.9097,377.1135,17.73058348,1470.5613,69.14074913,279.2349,13.12866738,4380.00761,1123.217373,776.600906,2018-06-01
Alameda,2018,7,66.207,0,38.18,14.199375,NA,3.064266667,0.11,1405,NA,NA,24,710,NA,NA,7.875,537,7.65,NA,33.890831853,1.35982337,10.538922491000001,47.20809414,2.063160996,3.968797114,1651760,2126.9097,377.1135,17.73058348,1470.5613,69.14074913,279.2349,13.12866738,4380.00761,1123.217373,776.600906,2018-07-01
Alameda,2018,8,56.635,0.756,34.932,13.70125,NA,NA,NA,NA,NA,NA,23.75,NA,NA,NA,7.25,NA,10,NA,33.890831853,1.35982337,10.538922491000001,47.20809414,2.063160996,3.968797114,1651760,2126.9097,377.1135,17.73058348,1470.5613,69.14074913,279.2349,13.12866738,4380.00761,1123.217373,776.600906,2018-08-01
Alameda,2018,9,51.588,0.284,33.311,13.791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.890831853,1.35982337,10.538922491000001,47.20809414,2.063160996,3.968797114,1651760,2126.9097,377.1135,17.73058348,1470.5613,69.14074913,279.2349,13.12866738,4380.00761,1123.217373,776.600906,2018-09-01
Alameda,2018,10,55.887,7.172,28.565,15.0275,NA,NA,NA,NA,0.735,12,18,NA,NA,NA,NA,NA,NA,NA,33.890831853,1.35982337,10.538922491000001,47.20809414,2.063160996,3.968797114,1651760,2126.9097,377.1135,17.73058348,1470.5613,69.14074913,279.2349,13.12866738,4380.00761,1123.217373,776.600906,2018-10-01
Alameda,2018,11,48.076,58.03,19.932,13.99,NA,NA,NA,NA,5.15,12.75,13.5,NA,NA,NA,NA,NA,NA,NA,33.890831853,1.35982337,10.538922491000001,47.20809414,2.063160996,3.968797114,1651760,2126.9097,377.1135,17.73058348,1470.5613,69.14074913,279.2349,13.12866738,4380.00761,1123.217373,776.600906,2018-11-01
Alameda,2018,12,70.255,56.969,13.66,14.025,NA,NA,NA,NA,9.65,NA,11.3,NA,NA,NA,NA,NA,NA,NA,33.890831853,1.35982337,10.538922491000001,47.20809414,2.063160996,3.968797114,1651760,2126.9097,377.1135,17.73058348,1470.5613,69.14074913,279.2349,13.12866738,4380.00761,1123.217373,776.600906,2018-12-01
Alameda,2019,1,68.823,86.724,13.958,12.89875,NA,NA,NA,NA,17,28,13.9,NA,479,NA,7.67,384,9.2,NA,33.952555127000004,1.346490398,10.568292327,47.13723358,2.050247592,3.999099325,1659608,2126.9097,378.1341,17.7785686,1469.3787,69.08514734,279.3969,13.13628407,4388.940326,1129.462405,780.2907665,2019-01-01
Alameda,2019,2,69.038,144.564,12.185,12.829375,NA,NA,NA,NA,69.5,17,10.1,NA,NA,130,NA,NA,NA,NA,33.952555127000004,1.346490398,10.568292327,47.13723358,2.050247592,3.999099325,1659608,2126.9097,378.1341,17.7785686,1469.3787,69.08514734,279.3969,13.13628407,4388.940326,1129.462405,780.2907665,2019-02-01
Alameda,2019,3,64.71,95.432,19.963,12.6275,NA,NA,NA,NA,37,18,13.5,NA,NA,NA,7.725,421,7.9,NA,33.952555127000004,1.346490398,10.568292327,47.13723358,2.050247592,3.999099325,1659608,2126.9097,378.1341,17.7785686,1469.3787,69.08514734,279.3969,13.13628407,4388.940326,1129.462405,780.2907665,2019-03-01
Alameda,2019,4,71.884,15.757,26.452,12.61,NA,1.128571429,0.248666667,NA,3.5500000000000003,20,18,NA,NA,NA,NA,NA,NA,NA,33.952555127000004,1.346490398,10.568292327,47.13723358,2.050247592,3.999099325,1659608,2126.9097,378.1341,17.7785686,1469.3787,69.08514734,279.3969,13.13628407,4388.940326,1129.462405,780.2907665,2019-04-01
Alameda,2019,5,26.873,38.842,28.681,13.701875,NA,1.4375,0.261333333,NA,4.4,NA,20.7,NA,2.22,17,NA,NA,NA,NA,33.952555127000004,1.346490398,10.568292327,47.13723358,2.050247592,3.999099325,1659608,2126.9097,378.1341,17.7785686,1469.3787,69.08514734,279.3969,13.13628407,4388.940326,1129.462405,780.2907665,2019-05-01
Alameda,2019,6,59.453,2.539,36.309,13.767875,NA,0.973241379,0.17964,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,33.952555127000004,1.346490398,10.568292327,47.13723358,2.050247592,3.999099325,1659608,2126.9097,378.1341,17.7785686,1469.3787,69.08514734,279.3969,13.13628407,4388.940326,1129.462405,780.2907665,2019-06-01
Alameda,2019,7,53.276,0.007,37.449,13.51125,NA,1.165714286,0.1908,NA,NA,NA,NA,NA,178,90,8.23,689,8.25,28.5,33.952555127000004,1.346490398,10.568292327,47.13723358,2.050247592,3.999099325,1659608,2126.9097,378.1341,17.7785686,1469.3787,69.08514734,279.3969,13.13628407,4388.940326,1129.462405,780.2907665,2019-07-01
Alameda,2019,8,52.685,0,37.053,14.86875,NA,1.445,0.1005,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,33.952555127000004,1.346490398,10.568292327,47.13723358,2.050247592,3.999099325,1659608,2126.9097,378.1341,17.7785686,1469.3787,69.08514734,279.3969,13.13628407,4388.940326,1129.462405,780.2907665,2019-08-01
Alameda,2019,9,59.503,1.904,32.813,14.826875,NA,NA,NA,NA,NA,NA,NA,NA,594,NA,7.65,495,6,NA,33.952555127000004,1.346490398,10.568292327,47.13723358,2.050247592,3.999099325,1659608,2126.9097,378.1341,17.7785686,1469.3787,69.08514734,279.3969,13.13628407,4388.940326,1129.462405,780.2907665,2019-09-01
Alameda,2019,10,51.794,5.791,28.209,13.37125,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,33.952555127000004,1.346490398,10.568292327,47.13723358,2.050247592,3.999099325,1659608,2126.9097,378.1341,17.7785686,1469.3787,69.08514734,279.3969,13.13628407,4388.940326,1129.462405,780.2907665,2019-10-01
Alameda,2019,11,56.187,36.441,22.183,13.0625,NA,1.708,NA,NA,NA,NA,11.9,137.5,44.6,NA,NA,NA,NA,NA,33.952555127000004,1.346490398,10.568292327,47.13723358,2.050247592,3.999099325,1659608,2126.9097,378.1341,17.7785686,1469.3787,69.08514734,279.3969,13.13628407,4388.940326,1129.462405,780.2907665,2019-11-01
Alameda,2019,12,59.191,85.66,13.211,13.02,NA,NA,NA,NA,NA,NA,11.850000000000001,NA,NA,NA,NA,NA,NA,NA,33.952555127000004,1.346490398,10.568292327,47.13723358,2.050247592,3.999099325,1659608,2126.9097,378.1341,17.7785686,1469.3787,69.08514734,279.3969,13.13628407,4388.940326,1129.462405,780.2907665,2019-12-01
Alameda,2020,1,52.314,38.828,12.908,12.27375,NA,NA,NA,NA,NA,NA,10.7,NA,NA,NA,NA,NA,NA,NA,34.02374202,1.369426841,10.48866744,47.16380629,2.075608212,3.711601271,1663114,2126.9097,379.3491,17.83569373,1468.0305,69.0217596,279.5301,13.14254667,4384.125335,1132.887907,781.9391674,2020-01-01
Alameda,2020,2,64.298,2.578,20.037,11.81375,NA,NA,NA,NA,NA,NA,13.149999999999999,NA,NA,NA,NA,NA,NA,NA,34.02374202,1.369426841,10.48866744,47.16380629,2.075608212,3.711601271,1663114,2126.9097,379.3491,17.83569373,1468.0305,69.0217596,279.5301,13.14254667,4384.125335,1132.887907,781.9391674,2020-02-01
Alameda,2020,3,70.223,50.929,22.047,12.525,NA,NA,NA,NA,NA,NA,14.7,NA,45,NA,NA,NA,NA,NA,34.02374202,1.369426841,10.48866744,47.16380629,2.075608212,3.711601271,1663114,2126.9097,379.3491,17.83569373,1468.0305,69.0217596,279.5301,13.14254667,4384.125335,1132.887907,781.9391674,2020-03-01
Alameda,2020,4,68.914,34.483,28.547,12.635,NA,NA,NA,NA,NA,NA,15.5,NA,170,NA,8.08,895,8.75,NA,34.02374202,1.369426841,10.48866744,47.16380629,2.075608212,3.711601271,1663114,2126.9097,379.3491,17.83569373,1468.0305,69.0217596,279.5301,13.14254667,4384.125335,1132.887907,781.9391674,2020-04-01
Alameda,2020,5,63.63,9.897,33.544,12.920625,NA,0.7524,0.076,NA,NA,NA,NA,NA,22,14,7.99,659,8.95,NA,34.02374202,1.369426841,10.48866744,47.16380629,2.075608212,3.711601271,1663114,2126.9097,379.3491,17.83569373,1468.0305,69.0217596,279.5301,13.14254667,4384.125335,1132.887907,781.9391674,2020-05-01
Alameda,2020,6,68.719,2.095,38.186,13.434125,NA,0.23625,0.242285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.02374202,1.369426841,10.48866744,47.16380629,2.075608212,3.711601271,1663114,2126.9097,379.3491,17.83569373,1468.0305,69.0217596,279.5301,13.14254667,4384.125335,1132.887907,781.9391674,2020-06-01
Alameda,2020,7,66.147,0.455,38.692,13.786875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.865,483,8.45,NA,34.02374202,1.369426841,10.48866744,47.16380629,2.075608212,3.711601271,1663114,2126.9097,379.3491,17.83569373,1468.0305,69.0217596,279.5301,13.14254667,4384.125335,1132.887907,781.9391674,2020-07-01
Alameda,2020,8,60.695,1.433,37.057,14.24375,NA,0.114325833,NA,NA,NA,NA,NA,NA,60,NA,7.955,802,8.149999999999999,NA,34.02374202,1.369426841,10.48866744,47.16380629,2.075608212,3.711601271,1663114,2126.9097,379.3491,17.83569373,1468.0305,69.0217596,279.5301,13.14254667,4384.125335,1132.887907,781.9391674,2020-08-01
Alameda,2020,9,48.012,2.144,35.813,14.761875,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,7.71,431,7.85,NA,34.02374202,1.369426841,10.48866744,47.16380629,2.075608212,3.711601271,1663114,2126.9097,379.3491,17.83569373,1468.0305,69.0217596,279.5301,13.14254667,4384.125335,1132.887907,781.9391674,2020-09-01
Alameda,2020,10,52.105,7.042,30.804,14.3275,NA,0.163086,NA,NA,NA,NA,19.450000000000003,NA,NA,NA,NA,NA,NA,NA,34.02374202,1.369426841,10.48866744,47.16380629,2.075608212,3.711601271,1663114,2126.9097,379.3491,17.83569373,1468.0305,69.0217596,279.5301,13.14254667,4384.125335,1132.887907,781.9391674,2020-10-01
Alameda,2020,11,52.685,12.565,18.781,12.375625,NA,0.256981,NA,NA,NA,NA,12.850000000000001,NA,NA,NA,NA,NA,NA,NA,34.02374202,1.369426841,10.48866744,47.16380629,2.075608212,3.711601271,1663114,2126.9097,379.3491,17.83569373,1468.0305,69.0217596,279.5301,13.14254667,4384.125335,1132.887907,781.9391674,2020-11-01
Alameda,2020,12,47.672,40.121,14.528,11.23625,NA,0.53055,NA,NA,NA,NA,11.3,NA,NA,NA,NA,NA,NA,NA,34.02374202,1.369426841,10.48866744,47.16380629,2.075608212,3.711601271,1663114,2126.9097,379.3491,17.83569373,1468.0305,69.0217596,279.5301,13.14254667,4384.125335,1132.887907,781.9391674,2020-12-01
Alameda,2021,1,62.353,72.425,15.899,11.37625,NA,0.561555,NA,NA,NA,44,9.5,NA,NA,290,7.6,353,9.850000000000001,NA,34.08705033,1.367841802,9.863789231,47.75572502,2.067449925,3.626149037,1669095,2126.9097,379.7928,17.85655498,1466.8299,68.9653115,280.287,13.17813351,4394.751559,1137.892676,784.7512285,2021-01-01
Alameda,2021,2,65.796,18.844,18.714,11.394375,NA,0.698985,NA,NA,NA,NA,13.5,NA,NA,NA,NA,NA,NA,NA,34.08705033,1.367841802,9.863789231,47.75572502,2.067449925,3.626149037,1669095,2126.9097,379.7928,17.85655498,1466.8299,68.9653115,280.287,13.17813351,4394.751559,1137.892676,784.7512285,2021-02-01
Alameda,2021,3,79.818,37.809,22.609,10.65625,NA,0.1948608,NA,NA,NA,NA,13.6,NA,94,NA,NA,NA,NA,NA,34.08705033,1.367841802,9.863789231,47.75572502,2.067449925,3.626149037,1669095,2126.9097,379.7928,17.85655498,1466.8299,68.9653115,280.287,13.17813351,4394.751559,1137.892676,784.7512285,2021-03-01
Alameda,2021,4,79.844,9.053,30.817,11.08,NA,0.08786525,0.091,NA,NA,NA,18.549999999999997,NA,NA,NA,NA,NA,NA,NA,34.08705033,1.367841802,9.863789231,47.75572502,2.067449925,3.626149037,1669095,2126.9097,379.7928,17.85655498,1466.8299,68.9653115,280.287,13.17813351,4394.751559,1137.892676,784.7512285,2021-04-01
Alameda,2021,5,74.977,4.699,35.569,11.186875,NA,0.397145833,0.150333333,NA,NA,NA,NA,NA,9.5,10.8,7.99,23402.5,7.95,NA,34.08705033,1.367841802,9.863789231,47.75572502,2.067449925,3.626149037,1669095,2126.9097,379.7928,17.85655498,1466.8299,68.9653115,280.287,13.17813351,4394.751559,1137.892676,784.7512285,2021-05-01
Alameda,2021,6,65.805,0,38.18,13.349375,NA,NA,NA,NA,NA,NA,NA,NA,36,21,8.32,468,8.95,NA,34.08705033,1.367841802,9.863789231,47.75572502,2.067449925,3.626149037,1669095,2126.9097,379.7928,17.85655498,1466.8299,68.9653115,280.287,13.17813351,4394.751559,1137.892676,784.7512285,2021-06-01
Alameda,2021,7,60.118,0,38.806,14.145,NA,0.0461085,2.64,NA,NA,NA,24,NA,NA,138,7.5,51500,9.125,NA,34.08705033,1.367841802,9.863789231,47.75572502,2.067449925,3.626149037,1669095,2126.9097,379.7928,17.85655498,1466.8299,68.9653115,280.287,13.17813351,4394.751559,1137.892676,784.7512285,2021-07-01
Alameda,2021,8,45.197,0,37.561,15.595625,NA,0.091039,NA,50400,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,34.08705033,1.367841802,9.863789231,47.75572502,2.067449925,3.626149037,1669095,2126.9097,379.7928,17.85655498,1466.8299,68.9653115,280.287,13.17813351,4394.751559,1137.892676,784.7512285,2021-08-01
Alameda,2021,9,44.581,0.337,35.56,15.66225,NA,0.054007,3,NA,NA,NA,NA,NA,NA,11.6,7.85,30760,7.45,NA,34.08705033,1.367841802,9.863789231,47.75572502,2.067449925,3.626149037,1669095,2126.9097,379.7928,17.85655498,1466.8299,68.9653115,280.287,13.17813351,4394.751559,1137.892676,784.7512285,2021-09-01
Alameda,2021,10,44.263,75.691,26.816,14.12125,NA,0.0888525,NA,NA,NA,90,16.05,NA,NA,18,NA,NA,NA,NA,34.08705033,1.367841802,9.863789231,47.75572502,2.067449925,3.626149037,1669095,2126.9097,379.7928,17.85655498,1466.8299,68.9653115,280.287,13.17813351,4394.751559,1137.892676,784.7512285,2021-10-01
Alameda,2021,11,50.078,27.654,19.596,14.429125,NA,0.1689675,NA,NA,NA,NA,14.8,NA,NA,NA,NA,NA,NA,NA,34.08705033,1.367841802,9.863789231,47.75572502,2.067449925,3.626149037,1669095,2126.9097,379.7928,17.85655498,1466.8299,68.9653115,280.287,13.17813351,4394.751559,1137.892676,784.7512285,2021-11-01
Alameda,2021,12,56.167,116.126,11.095,11.94875,NA,0.26922,NA,NA,NA,NA,10.5,NA,NA,NA,NA,NA,NA,NA,34.08705033,1.367841802,9.863789231,47.75572502,2.067449925,3.626149037,1669095,2126.9097,379.7928,17.85655498,1466.8299,68.9653115,280.287,13.17813351,4394.751559,1137.892676,784.7512285,2021-12-01
Alameda,2022,1,51.833,11.301,14.158,12.11625,NA,0.32497,NA,NA,NA,NA,10.7,NA,NA,NA,NA,NA,NA,NA,34.144577909,1.3386584419999998,9.877821485999998,47.70546996,2.07225166,3.717055669,1648467,2126.9097,380.1582,17.87373484,1465.7202,68.91313721,281.0313,13.21312795,4336.265797,1124.68055,775.0526503,2022-01-01
Alameda,2022,2,53.607,6.368,18.469,12.17625,NA,0.37032,NA,NA,NA,NA,10.95,NA,NA,NA,NA,NA,NA,NA,34.144577909,1.3386584419999998,9.877821485999998,47.70546996,2.07225166,3.717055669,1648467,2126.9097,380.1582,17.87373484,1465.7202,68.91313721,281.0313,13.21312795,4336.265797,1124.68055,775.0526503,2022-02-01
Alameda,2022,3,72.044,25.275,25.809,11.3075,NA,0.13421275,0.14,NA,NA,NA,16.5,NA,NA,NA,NA,NA,NA,NA,34.144577909,1.3386584419999998,9.877821485999998,47.70546996,2.07225166,3.717055669,1648467,2126.9097,380.1582,17.87373484,1465.7202,68.91313721,281.0313,13.21312795,4336.265797,1124.68055,775.0526503,2022-03-01
Alameda,2022,4,73.018,22.278,27.432,10.916625,NA,0.136188818,0.102,1284,NA,NA,17.2,504,NA,NA,7.8,NA,NA,NA,34.144577909,1.3386584419999998,9.877821485999998,47.70546996,2.07225166,3.717055669,1648467,2126.9097,380.1582,17.87373484,1465.7202,68.91313721,281.0313,13.21312795,4336.265797,1124.68055,775.0526503,2022-04-01
Alameda,2022,5,71.39,2.839,34.316,10.70625,NA,0.080903778,0.091777778,NA,NA,NA,18.1,NA,NA,NA,NA,NA,NA,NA,34.144577909,1.3386584419999998,9.877821485999998,47.70546996,2.07225166,3.717055669,1648467,2126.9097,380.1582,17.87373484,1465.7202,68.91313721,281.0313,13.21312795,4336.265797,1124.68055,775.0526503,2022-05-01
Alameda,2022,6,70.936,1.461,39.175,12.1225,NA,0.028851,0.1085,NA,NA,NA,21.75,NA,NA,NA,7.5,NA,4.5,NA,34.144577909,1.3386584419999998,9.877821485999998,47.70546996,2.07225166,3.717055669,1648467,2126.9097,380.1582,17.87373484,1465.7202,68.91313721,281.0313,13.21312795,4336.265797,1124.68055,775.0526503,2022-06-01
Alameda,2022,7,68.559,0,38.563,13.44125,NA,0.0646293,0.130777778,NA,NA,NA,23.4,NA,NA,4.245,8.25,NA,8,NA,34.144577909,1.3386584419999998,9.877821485999998,47.70546996,2.07225166,3.717055669,1648467,2126.9097,380.1582,17.87373484,1465.7202,68.91313721,281.0313,13.21312795,4336.265797,1124.68055,775.0526503,2022-07-01
Alameda,2022,8,80.16,0,38.936,14.633125,NA,0.085411448,0.258925926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.144577909,1.3386584419999998,9.877821485999998,47.70546996,2.07225166,3.717055669,1648467,2126.9097,380.1582,17.87373484,1465.7202,68.91313721,281.0313,13.21312795,4336.265797,1124.68055,775.0526503,2022-08-01
Alameda,2022,9,51.392,6.306,33.175,15.07975,NA,0.029727438,0.301625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.144577909,1.3386584419999998,9.877821485999998,47.70546996,2.07225166,3.717055669,1648467,2126.9097,380.1582,17.87373484,1465.7202,68.91313721,281.0313,13.21312795,4336.265797,1124.68055,775.0526503,2022-09-01
Alameda,2022,10,54.509,6.981,28.812,14.429375,NA,0.162456667,0.236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.144577909,1.3386584419999998,9.877821485999998,47.70546996,2.07225166,3.717055669,1648467,2126.9097,380.1582,17.87373484,1465.7202,68.91313721,281.0313,13.21312795,4336.265797,1124.68055,775.0526503,2022-10-01
Alameda,2022,11,62.88,37.103,16.964,12.146,NA,0.2148825,0.224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.144577909,1.3386584419999998,9.877821485999998,47.70546996,2.07225166,3.717055669,1648467,2126.9097,380.1582,17.87373484,1465.7202,68.91313721,281.0313,13.21312795,4336.265797,1124.68055,775.0526503,2022-11-01
Alameda,2022,12,55.304,157.549,11.782,11.55625,NA,0.1961405,0.152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.144577909,1.3386584419999998,9.877821485999998,47.70546996,2.07225166,3.717055669,1648467,2126.9097,380.1582,17.87373484,1465.7202,68.91313721,281.0313,13.21312795,4336.265797,1124.68055,775.0526503,2022-12-01
Alameda,2023,1,73.24,193.75,12.21,12.2225,NA,0.296845,0.0955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.204110094,1.372550299,9.925465885,47.475546109999996,2.033791161,4.100961373,1657334,2126.9097,380.3994,17.88507523,1464.6024,68.86058209,281.9079,13.25434267,4356.82601,1131.59312,779.2216096,2023-01-01
Alameda,2023,2,62.959,60.924,13.843,11.258125,NA,0.256166,0.0815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.204110094,1.372550299,9.925465885,47.475546109999996,2.033791161,4.100961373,1657334,2126.9097,380.3994,17.88507523,1464.6024,68.86058209,281.9079,13.25434267,4356.82601,1131.59312,779.2216096,2023-02-01
Alameda,2023,3,73.227,138.336,16.467,11.20375,NA,0.354786333,0.093333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.204110094,1.372550299,9.925465885,47.475546109999996,2.033791161,4.100961373,1657334,2126.9097,380.3994,17.88507523,1464.6024,68.86058209,281.9079,13.25434267,4356.82601,1131.59312,779.2216096,2023-03-01
Alameda,2023,4,62.046,11.442,22.918,10.715375,NA,0.194870222,0.085666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.204110094,1.372550299,9.925465885,47.475546109999996,2.033791161,4.100961373,1657334,2126.9097,380.3994,17.88507523,1464.6024,68.86058209,281.9079,13.25434267,4356.82601,1131.59312,779.2216096,2023-04-01
Alameda,2023,5,58.397,11.183,29.559,12.400625,NA,0.003131818,0.08275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.204110094,1.372550299,9.925465885,47.475546109999996,2.033791161,4.100961373,1657334,2126.9097,380.3994,17.88507523,1464.6024,68.86058209,281.9079,13.25434267,4356.82601,1131.59312,779.2216096,2023-05-01
